objectId,Postal_Code,Place_Name,ACL,Latitude,updatedAt,Longitude,Accuracy,createdAt
FgRgUqWGRF,T0L,Kananaskis Country (Claresholm),null,50.6314,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.4089,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
sltM4V3sEu,T1P,Strathmore,null,51.0501,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.3852,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
L153xEnEUn,T2K,Calgary (Thornecliffe / Tuxedo),null,51.1111,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.0477,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
7e3WVXqJ9r,T3E,Calgary (Lakeview / Glendale / Killarney / Glamorgan),null,50.9899,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1574,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
EaE8nLWB9T,T0J,Southeastern Alberta (Drumheller),null,50.9944,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-111.4632,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
88HKEgUvHd,T0C,Central Alberta (Stettler),null,52.1431,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-111.6941,5,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
dzqb1ybDg2,T3A,Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley),null,51.1264,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1419,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
wtldxXEiXV,T2M,Calgary (Mount Pleasant / Capitol Hill / Banff Trail),null,51.133,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.856,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
gZJcAPNwvW,T1V,High River,null,50.5834,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.8687,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
fkujwP4SUc,T3B,Calgary (Montgomery / Bowness / Silver Springs / Greenwood),null,51.0915,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.2073,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
IAdb6uHhnr,T1B,Medicine Hat South,null,49.835,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-110.5203,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
vHChcRMN9v,T0M,Central Foothills (Sundre),null,51.9552,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.8691,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
yMdwsq218F,T3J,Calgary (Martindale / Taradale / Falconridge / Saddle Ridge),null,51.1188,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9471,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
g2bic7VFUH,T1S,Okotoks,null,50.7362,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9695,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
B6me6OLTYX,T3G,Calgary (Hawkwood / Arbour Lake / Royal Oak / Rocky Ridge),null,51.1387,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.2015,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
QHjJAhEOzg,T1Z,Rocky View,null,51.1834,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9353,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
O9PGUOrEeY,T0H,Northwestern Alberta (High Level),null,57.5403,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-116.9153,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
1IQguHADWx,T2B,Calgary (Forest Lawn / Dover / Erin Woods),null,51.0209,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.981,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
KvlX5Jolzp,T2V,Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park),null,50.9819,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1004,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
BaslOGO9u9,T1L,Banff,null,51.1762,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-115.5698,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
eDmWd0lvwl,T1G,Taber,null,49.787,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-112.146,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
vmI0FynGcL,T5L,Edmonton (North Westmount / West Calder / East Mistatim),null,53.585,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5526,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
cv45lL7WZ7,T0A,Eastern Alberta (St. Paul),null,54.766,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-111.7174,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
jbN5x3Hi9S,T2H,Calgary (Highfield / Burns Industrial),null,50.9894,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.052,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
otKGZ1Yits,T3R,Calgary Northwest,null,51.2021,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.2453,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
mRKAuN2VID,T3L,Calgary (Tuscany / Scenic Acres),null,51.1467,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.3133,1,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
7zflH418HR,T2T,Calgary South (Altadore / Bankview / Richmond),null,51.0242,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1004,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
JHE5pImgNj,T2A,Calgary (Penbrooke Meadows / Marlborough),null,51.0494,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9564,6,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
shPRM4dOKi,T1C,Medicine Hat North,null,50.0774,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-110.6911,4,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
