objectId,Place_Name,ACL,Latitude,updatedAt,Longitude,createdAt
FgRgUqWGRF,Kananaskis Country (Claresholm),null,50.6314,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.4089,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
sltM4V3sEu,Strathmore,null,51.0501,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.3852,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
L153xEnEUn,Calgary (Thornecliffe / Tuxedo),null,51.1111,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.0477,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
7e3WVXqJ9r,Calgary (Lakeview / Glendale / Killarney / Glamorgan),null,50.9899,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1574,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
EaE8nLWB9T,Southeastern Alberta (Drumheller),null,50.9944,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-111.4632,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
88HKEgUvHd,Central Alberta (Stettler),null,52.1431,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-111.6941,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
dzqb1ybDg2,Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley),null,51.1264,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1419,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
wtldxXEiXV,Calgary (Mount Pleasant / Capitol Hill / Banff Trail),null,51.133,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.856,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
gZJcAPNwvW,High River,null,50.5834,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.8687,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
fkujwP4SUc,Calgary (Montgomery / Bowness / Silver Springs / Greenwood),null,51.0915,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.2073,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
IAdb6uHhnr,Medicine Hat South,null,49.835,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-110.5203,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
vHChcRMN9v,Central Foothills (Sundre),null,51.9552,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.8691,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
yMdwsq218F,Calgary (Martindale / Taradale / Falconridge / Saddle Ridge),null,51.1188,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9471,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
g2bic7VFUH,Okotoks,null,50.7362,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9695,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
B6me6OLTYX,Calgary (Hawkwood / Arbour Lake / Royal Oak / Rocky Ridge),null,51.1387,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.2015,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
QHjJAhEOzg,Rocky View,null,51.1834,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9353,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
O9PGUOrEeY,Northwestern Alberta (High Level),null,57.5403,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-116.9153,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
1IQguHADWx,Calgary (Forest Lawn / Dover / Erin Woods),null,51.0209,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.981,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
KvlX5Jolzp,Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park),null,50.9819,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1004,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
BaslOGO9u9,Banff,null,51.1762,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-115.5698,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
eDmWd0lvwl,Taber,null,49.787,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-112.146,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
vmI0FynGcL,Edmonton (North Westmount / West Calder / East Mistatim),null,53.585,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.5526,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
cv45lL7WZ7,Eastern Alberta (St. Paul),null,54.766,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-111.7174,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
jbN5x3Hi9S,Calgary (Highfield / Burns Industrial),null,50.9894,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.052,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
otKGZ1Yits,Calgary Northwest,null,51.2021,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.2453,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
mRKAuN2VID,Calgary (Tuscany / Scenic Acres),null,51.1467,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.3133,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
7zflH418HR,Calgary South (Altadore / Bankview / Richmond),null,51.0242,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.1004,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
JHE5pImgNj,Calgary (Penbrooke Meadows / Marlborough),null,51.0494,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9564,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
shPRM4dOKi,Medicine Hat North,null,50.0774,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-110.6911,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
G9ykKvYyrv,Wainwright Region (Tofield),null,53.0727,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-111.5816,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
xwnIga49HY,Calgary Northeast,null,51.1626,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9537,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
X4JoEjqDyv,Redwood Meadows,null,51.0691,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.4727,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
0Qqx7echK9,Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains),null,50.987,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9634,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
tInbycCmvI,Lethbridge North,null,49.7,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-112.8186,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
UoR1wiGYAm,Medicine Hat Central,null,50.0816,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-110.5788,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
rAtVBEDYY5,Calgary (Cranston),null,50.8796,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9555,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
CpxhqUu0mW,Calgary (Rundle / Whitehorn / Monterey Park),null,51.0823,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-113.9578,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
w9C8J75h2N,Calgary (Sandstone / Harvest Hills / Coventry Hills / Panorama Hills / Beddington),null,51.1563,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico),-114.0572,Thu Feb 20 2020 12:14:18 GMT-0800 (hora estándar del Pacífico)
